시군구,구분,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,보행자,,기타,,미분류,
,,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타
합계,사고건수,1143175,163058,39801,43658,1111,22080,4690,868777,274398,163058,39801,43658,1111,22080,4690,354,354,7974,7974,117,117,2479,2479,455,455,459841,459841,397557,397557,1228129,190208,41811,44413,1249,23794,2878,923776,304353,190208,41811,44413,1249,23794,2878,333,333,6627,6627,225,225,2434,2434,403,403,492317,492317,421437,421437,1292864,202975,46997,47880,1283,27751,2800,963178,329686,202975,46997,47880,1283,27751,2800,318,318,7455,7455,447,447,2549,2549,448,448,537588,537588,414373,414373,1247623,234321,40951,52103,1386,34046,3482,881334,366289,234321,40951,52103,1386,34046,3482,304,304,8025,8025,897,897,2574,2574,389,389,426448,426448,442697,442697,1258704,237554,41216,54250,1455,37829,2635,883765,374939,237554,41216,54250,1455,37829,2635,249,249,7814,7814,1735,1735,2677,2677,389,389,9520,9520,429701,429701,431680,431680
,사망자수,4185,2048,286,961,29,406,121,334,3851,2048,286,961,29,406,121,37,37,126,126,4,4,96,96,65,65,6,6,0,0,3781,1837,247,868,57,410,68,294,3487,1837,247,868,57,410,68,59,59,91,91,4,4,73,73,60,60,7,7,0,0,3349,1571,209,802,38,422,40,267,3082,1571,209,802,38,422,40,36,36,79,79,8,8,84,84,57,57,3,3,0,0,3081,1410,165,721,38,439,56,252,2829,1410,165,721,38,439,56,30,30,83,83,10,10,77,77,49,49,3,3,0,0,2916,1348,146,687,39,397,39,260,2656,1348,146,687,39,397,39,23,23,70,70,19,19,79,79,62,62,0,0,7,7,0,0
,부상자수,1803325,253046,61731,65786,1773,25668,5530,1389791,413534,253046,61731,65786,1773,25668,5530,376,376,8271,8271,124,124,3740,3740,496,496,701242,701242,675542,675542,1935008,297181,64121,66894,1917,28063,3322,1473510,461498,297181,64121,66894,1917,28063,3322,330,330,6915,6915,238,238,3741,3741,438,438,755083,755083,706765,706765,2053971,322161,73649,72185,1970,33647,3305,1547054,506917,322161,73649,72185,1970,33647,3305,331,331,7862,7862,473,473,3810,3810,516,516,840366,840366,693696,693696,2061788,371915,62587,77289,2040,40830,4166,1502961,558827,371915,62587,77289,2040,40830,4166,343,343,8555,8555,985,985,3684,3684,452,452,660537,660537,828405,828405,2055003,367802,63251,79649,2169,45257,3163,1493712,561291,367802,63251,79649,2169,45257,3163,279,279,8361,8361,1901,1901,3796,3796,426,426,11072,11072,666884,666884,800993,800993
종로구,사고건수,5369,878,208,107,2,185,72,3917,1452,878,208,107,2,185,72,,,42,42,2,2,2,2,,,2077,2077,1794,1794,5512,998,212,126,2,161,42,3971,1541,998,212,126,2,161,42,,,28,28,3,3,2,2,,,2104,2104,1834,1834,5476,1015,325,115,1,181,53,3786,1690,1015,325,115,1,181,53,,,32,32,1,1,5,5,,,2124,2124,1624,1624,4813,948,252,119,2,184,56,3252,1561,948,252,119,2,184,56,1,1,31,31,7,7,5,5,,,1548,1548,1660,1660,4653,884,226,108,4,219,44,3168,1485,884,226,108,4,219,44,1,1,31,31,4,4,3,3,,,44,44,1563,1563,1522,1522
,사망자수,13,10,0,1,0,1,0,1,12,10,0,1,0,1,0,,,0,0,0,0,1,1,,,0,0,0,0,6,2,2,1,0,1,0,0,6,2,2,1,0,1,0,,,0,0,0,0,0,0,,,0,0,0,0,6,2,0,1,0,2,0,1,5,2,0,1,0,2,0,,,1,1,0,0,0,0,,,0,0,0,0,5,2,1,0,0,1,0,1,4,2,1,0,0,1,0,0,0,1,1,0,0,0,0,,,0,0,0,0,6,1,1,2,0,1,1,0,6,1,1,2,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
,부상자수,7850,1328,388,128,2,211,84,5709,2141,1328,388,128,2,211,84,,,42,42,2,2,1,1,,,2903,2903,2761,2761,7842,1425,321,168,2,187,47,5692,2150,1425,321,168,2,187,47,,,29,29,3,3,3,3,,,2938,2938,2719,2719,7792,1443,446,163,1,216,61,5462,2330,1443,446,163,1,216,61,,,31,31,1,1,9,9,,,3007,3007,2414,2414,6968,1347,349,163,3,212,63,4831,2137,1347,349,163,3,212,63,1,1,34,34,8,8,6,6,,,2119,2119,2663,2663,6621,1279,311,134,7,239,48,4603,2018,1279,311,134,7,239,48,1,1,33,33,5,5,3,3,,,46,46,2145,2145,2370,2370
중구,사고건수,5912,979,244,142,2,221,46,4278,1634,979,244,142,2,221,46,,,19,19,,,10,10,,,2262,2262,1987,1987,6204,1123,293,118,,168,61,4441,1763,1123,293,118,,168,61,1,1,20,20,,,7,7,,,2362,2362,2051,2051,6349,1132,418,132,1,217,56,4393,1956,1132,418,132,1,217,56,,,28,28,2,2,12,12,,,2456,2456,1895,1895,5376,962,332,168,2,290,53,3569,1807,962,332,168,2,290,53,1,1,29,29,8,8,2,2,,,1647,1647,1882,1882,5160,1002,283,151,1,312,43,3368,1792,1002,283,151,1,312,43,,,29,29,8,8,4,4,,,65,65,1560,1560,1702,1702
,사망자수,4,1,1,1,0,1,0,0,4,1,1,1,0,1,0,,,0,0,,,0,0,,,0,0,0,0,9,5,2,0,,1,0,1,8,5,2,0,,1,0,0,0,1,1,,,0,0,,,0,0,0,0,5,1,2,1,0,0,0,1,4,1,2,1,0,0,0,,,0,0,0,0,1,1,,,0,0,0,0,6,3,1,0,0,2,0,0,6,3,1,0,0,2,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,1,1,0,0,1,0,0,3,1,1,0,0,1,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0
,부상자수,8148,1372,339,177,2,249,51,5958,2190,1372,339,177,2,249,51,,,19,19,,,10,10,,,3033,3033,2896,2896,8584,1607,382,132,,192,67,6204,2380,1607,382,132,,192,67,1,1,19,19,,,13,13,,,3210,3210,2961,2961,8938,1675,562,166,1,248,59,6227,2711,1675,562,166,1,248,59,,,30,30,2,2,11,11,,,3377,3377,2807,2807,7735,1368,468,217,3,331,65,5283,2452,1368,468,217,3,331,65,1,1,30,30,9,9,2,2,,,2256,2256,2985,2985,7484,1432,402,197,1,366,52,5034,2450,1432,402,197,1,366,52,,,32,32,9,9,5,5,,,68,68,2199,2199,2721,2721
